epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.326,0.24896,0.27394,0.21049,0.75654,0.99239,0.99521,0.99321,0.98609,0.99239,0.99521,0.99321,0.92211,0.15875,0.19558,0.14417,0.57737,0.000475322,0.000475322,0.000475322
2,494.053,0.26376,0.2768,0.26953,0.75966,0.97733,0.99938,0.99102,0.96298,0.97733,0.99938,0.99102,0.88787,0.19304,0.21918,0.22746,0.58172,0.000945374,0.000945374,0.000945374
3,738.574,0.25859,0.29331,0.27418,0.7421,0.98618,0.98746,0.99039,0.95176,0.98618,0.98746,0.99039,0.88662,0.21431,0.22985,0.19283,0.58692,0.00140914,0.00140914,0.00140914
4,983.071,0.28957,0.31331,0.30742,0.76486,0.98881,0.99565,0.99219,0.97924,0.98881,0.99565,0.99219,0.91818,0.17282,0.19484,0.15949,0.57903,0.00140071,0.00140071,0.00140071
5,1228.28,0.28543,0.30081,0.29032,0.74887,0.98983,0.98496,0.99025,0.9337,0.98983,0.98496,0.99025,0.86618,0.24515,0.26187,0.21404,0.59298,0.00139127,0.00139127,0.00139127
6,1477.12,0.30289,0.31408,0.30105,0.7557,0.98754,0.98922,0.99129,0.96952,0.98754,0.98922,0.99129,0.89613,0.20367,0.21231,0.24713,0.58445,0.00138184,0.00138184,0.00138184
7,1721.61,0.29453,0.30584,0.27598,0.76068,0.98711,0.99464,0.99166,0.97094,0.98711,0.99464,0.99166,0.8885,0.19808,0.23109,0.20697,0.58255,0.00137241,0.00137241,0.00137241
8,1970.19,0.27441,0.30276,0.29868,0.75985,0.99173,0.99214,0.99267,0.9251,0.99173,0.99214,0.99267,0.89003,0.25336,0.28397,0.21078,0.59689,0.00136298,0.00136298,0.00136298
9,2213.68,0.29958,0.29763,0.29316,0.7635,0.99269,0.9925,0.992,0.96534,0.99269,0.9925,0.992,0.90402,0.2045,0.20789,0.1807,0.58584,0.00135355,0.00135355,0.00135355
10,2459.29,0.28804,0.28828,0.25393,0.76244,0.98289,0.99562,0.99226,0.98278,0.98289,0.99562,0.99226,0.91691,0.16941,0.19635,0.17794,0.57894,0.00134412,0.00134412,0.00134412
11,2704.4,0.2812,0.28902,0.24012,0.76432,0.99145,0.99578,0.99202,0.98034,0.99145,0.99578,0.99202,0.91389,0.17277,0.19377,0.14875,0.5797,0.00133469,0.00133469,0.00133469
12,2951.7,0.26996,0.28649,0.24861,0.7606,0.98881,0.99313,0.99142,0.95566,0.98881,0.99313,0.99142,0.89245,0.22263,0.23695,0.15111,0.58804,0.00132525,0.00132525,0.00132525
13,3200.83,0.26488,0.26199,0.22987,0.76057,0.98957,0.99398,0.99097,0.97378,0.98957,0.99398,0.99097,0.90868,0.20855,0.19739,0.16129,0.58434,0.00131582,0.00131582,0.00131582
14,3446.68,0.26958,0.2654,0.22055,0.75844,0.99089,0.99452,0.99029,0.97062,0.99089,0.99452,0.99029,0.89822,0.18258,0.21322,0.15466,0.57957,0.00130639,0.00130639,0.00130639
15,3698.15,0.25582,0.27024,0.21909,0.75332,0.98742,0.99641,0.99134,0.98094,0.98742,0.99641,0.99134,0.90719,0.16282,0.18755,0.15972,0.57982,0.00129696,0.00129696,0.00129696
16,3948.08,0.26746,0.275,0.22816,0.76459,0.99116,0.99556,0.99195,0.98434,0.99116,0.99556,0.99195,0.91774,0.15964,0.18141,0.13902,0.57749,0.00128753,0.00128753,0.00128753
17,4204.68,0.26852,0.27507,0.2794,0.7486,0.98944,0.99503,0.9936,0.98022,0.98944,0.99503,0.9936,0.91043,0.16437,0.20035,0.15833,0.57737,0.0012781,0.0012781,0.0012781
