epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,244.135,0.48835,0.47695,1.39918,0.81011,0.95096,0.97963,0.98704,0.89097,0.95096,0.97963,0.98704,0.85798,0.30729,0.30634,1.00105,0.62561,0.000475322,0.000475322,0.000475322
2,493.081,0.56925,0.55007,0.85444,0.84784,0.93588,0.65352,0.67679,0.56602,0.93588,0.65352,0.6773,0.57521,0.93326,1.60996,15.0645,1.62651,0.000946945,0.000946945,0.000946945
3,733.952,0.60151,0.49211,0.76699,0.84317,0.32581,0.51515,0.42693,0.32691,0.32556,0.5137,0.42665,0.29858,0.86733,1.25207,2.92438,0.85661,0.00141385,0.00141385,0.00141385
4,974.276,0.65101,0.55101,0.92288,0.87506,0.93751,0.9848,0.97793,0.89235,0.93751,0.9848,0.97793,0.89822,0.34863,0.32344,0.57883,0.6255,0.00140778,0.00140778,0.00140778
5,1214.68,0.53808,0.46342,0.56277,0.81773,0.96723,0.95793,0.97892,0.87567,0.96723,0.95793,0.97892,0.85768,0.32244,0.32205,0.59054,0.62569,0.00140071,0.00140071,0.00140071
6,1452.86,0.48715,0.45838,0.52968,0.80515,0.97713,0.98584,0.99016,0.91964,0.97713,0.98584,0.99016,0.88177,0.29507,0.27098,0.32551,0.61445,0.00139363,0.00139363,0.00139363
7,1691.42,0.50491,0.44725,0.48375,0.81767,0.96943,0.98641,0.98696,0.92528,0.96943,0.98641,0.98696,0.8813,0.27621,0.28603,0.36046,0.60662,0.00138656,0.00138656,0.00138656
8,1930.32,0.44809,0.42241,0.45412,0.8016,0.98117,0.9875,0.98878,0.91109,0.98117,0.9875,0.98878,0.88362,0.30622,0.29892,0.30542,0.61276,0.00137949,0.00137949,0.00137949
9,2167.66,0.48263,0.41423,0.44209,0.81164,0.97969,0.98501,0.98999,0.91506,0.97969,0.98501,0.98999,0.8849,0.26881,0.27883,0.32449,0.60988,0.00137241,0.00137241,0.00137241
10,2411.36,0.4508,0.42217,0.42175,0.80309,0.98147,0.98184,0.98832,0.93744,0.98147,0.98184,0.98832,0.90769,0.2598,0.26679,0.30511,0.60492,0.00136534,0.00136534,0.00136534
11,2649.35,0.45911,0.42573,0.40166,0.80462,0.98333,0.98857,0.99002,0.92936,0.98333,0.98857,0.99002,0.88008,0.28587,0.27363,0.31289,0.60784,0.00135826,0.00135826,0.00135826
12,2887.54,0.41429,0.42253,0.50313,0.79521,0.98692,0.98438,0.98831,0.92282,0.98692,0.98438,0.98831,0.88445,0.26922,0.27041,0.605,0.60059,0.00135119,0.00135119,0.00135119
13,3215.09,0.4211,0.38081,0.41625,0.79569,0.98511,0.9783,0.9885,0.93108,0.98511,0.9783,0.9885,0.88836,0.25797,0.25965,0.29814,0.60271,0.00134412,0.00134412,0.00134412
14,3452.08,0.39639,0.37382,0.36839,0.78927,0.97644,0.98514,0.98424,0.92261,0.97644,0.98514,0.98424,0.88226,0.27613,0.26646,0.30568,0.60653,0.00133704,0.00133704,0.00133704
15,3689.4,0.39759,0.3799,0.38602,0.78435,0.97063,0.98272,0.98325,0.92827,0.97063,0.98272,0.98325,0.89157,0.24116,0.26805,0.27594,0.59687,0.00132997,0.00132997,0.00132997
16,3926.71,0.40663,0.38481,0.36676,0.79584,0.98331,0.99129,0.99131,0.94214,0.98331,0.99129,0.99131,0.91669,0.2564,0.2387,0.24723,0.6009,0.0013229,0.0013229,0.0013229
17,4164.84,0.39762,0.35595,0.44175,0.7768,0.9795,0.99,0.99003,0.94202,0.9795,0.99,0.99003,0.90352,0.22445,0.23723,0.2825,0.59375,0.00131582,0.00131582,0.00131582
