epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.56,0.5515,1.68336,0.83889,0.99251,1,0.99257,0.90177,0.39946,2.40618,0.75976,0.00066596,0.00066596,0.00066596
2,234.014,0.51106,1.03154,0.83099,0.9967,0.99765,0.99411,0.90406,0.37602,1.20416,0.73902,0.00131943,0.00131943,0.00131943
3,359.141,0.49788,0.69823,0.82323,0.99752,1,0.99401,0.91249,0.30825,0.71597,0.7307,0.00195971,0.00195971,0.00195971
4,481.566,0.50701,0.54001,0.84157,0.99615,0.99882,0.99498,0.92356,0.31551,0.50373,0.73287,0.0019406,0.0019406,0.0019406
5,604.144,0.48313,0.4264,0.8244,0.99543,1,0.99488,0.9438,0.34357,0.36728,0.7365,0.0019208,0.0019208,0.0019208
6,729.877,0.46713,0.43043,0.81555,0.99618,0.99882,0.99354,0.95219,0.32798,0.3818,0.73035,0.001901,0.001901,0.001901
7,853.829,0.46414,0.38235,0.81743,0.99648,0.9995,0.99403,0.91888,0.38457,0.39025,0.74394,0.0018812,0.0018812,0.0018812
8,966.757,0.44992,0.40906,0.80656,0.99764,0.99615,0.99486,0.94821,0.30334,0.26277,0.72674,0.0018614,0.0018614,0.0018614
9,1089.22,0.43699,0.34317,0.80533,0.99531,0.99852,0.99371,0.90515,0.40093,0.27445,0.74306,0.0018416,0.0018416,0.0018416
10,1209.93,0.42838,0.30916,0.81602,0.99531,0.99901,0.99463,0.93211,0.34905,0.24082,0.73384,0.0018218,0.0018218,0.0018218
11,1342.28,0.4102,0.31001,0.79845,0.99644,1,0.99452,0.91544,0.35613,0.25045,0.73642,0.001802,0.001802,0.001802
12,1470.39,0.43671,0.31084,0.8036,0.99532,0.9999,0.99498,0.9398,0.26388,0.20879,0.72241,0.0017822,0.0017822,0.0017822
13,1591.07,0.39652,0.29286,0.80098,0.99752,0.99765,0.99457,0.94262,0.31029,0.21965,0.72725,0.0017624,0.0017624,0.0017624
14,1713.09,0.39248,0.27784,0.79517,0.99635,0.99882,0.9945,0.96417,0.31099,0.22402,0.72961,0.0017426,0.0017426,0.0017426
15,1841.55,0.37603,0.30377,0.78847,0.99765,0.99876,0.99466,0.95015,0.26402,0.216,0.72112,0.0017228,0.0017228,0.0017228
16,1970.64,0.38658,0.29448,0.79142,0.99525,0.99882,0.99452,0.96752,0.30271,0.23357,0.72667,0.001703,0.001703,0.001703
17,2097.72,0.36708,0.26574,0.77967,0.99531,0.99868,0.99499,0.94711,0.26509,0.20224,0.71741,0.0016832,0.0016832,0.0016832
18,2226.16,0.37428,0.25888,0.78133,0.9975,0.99882,0.99483,0.98013,0.23304,0.16815,0.7151,0.0016634,0.0016634,0.0016634
19,2352.8,0.36195,0.25394,0.78338,0.99634,1,0.99426,0.98234,0.23185,0.19925,0.71162,0.0016436,0.0016436,0.0016436
20,2484.26,0.362,0.2675,0.78956,0.99415,0.99976,0.99476,0.97363,0.20577,0.18021,0.70978,0.0016238,0.0016238,0.0016238
21,2613.81,0.35685,0.26332,0.78906,0.99866,0.99765,0.99451,0.97784,0.23843,0.18435,0.71566,0.001604,0.001604,0.001604
22,2742.67,0.34803,0.25789,0.78737,0.99648,0.99981,0.99462,0.98021,0.19592,0.17256,0.70711,0.0015842,0.0015842,0.0015842
23,2868.83,0.34719,0.26123,0.79161,0.99753,1,0.99499,0.98046,0.23937,0.18552,0.71489,0.0015644,0.0015644,0.0015644
24,2992.75,0.32847,0.23284,0.77796,0.99647,0.99749,0.99499,0.98342,0.1932,0.16648,0.70807,0.0015446,0.0015446,0.0015446
25,3117.46,0.32893,0.23945,0.77573,0.99648,0.99867,0.99496,0.98335,0.21209,0.17112,0.71054,0.0015248,0.0015248,0.0015248
