epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7353,0.87552,1.17146,0.9906,0.76336,0.77966,0.75108,0.49299,1.16021,5.3867,0.94804,0.00036,0.00036,0.00036
2,38.7003,1.04779,1.35998,1.08195,0.02319,0.62712,0.0197,0.01015,1.43012,472.924,1.42707,0.000738535,0.000738535,0.000738535
3,57.8827,1.12819,2.34922,1.21675,0.0169,0.30508,0.01364,0.00457,1.95983,113.29,2.5463,0.00111556,0.00111556,0.00111556
4,77.0486,1.08992,2.95511,1.25503,0.00126,0.47458,0.00092,0.0003,2.11337,1178.16,1.90832,0.00149109,0.00149109,0.00149109
5,95.813,1.32088,2.78508,1.37085,0.00026,0.0339,9e-05,4e-05,3.09687,9304.96,141.504,0.00186511,0.00186511,0.00186511
6,114.86,1.35736,2.16118,1.37373,0,0,0,0,0.59382,673.154,1.29383,0.0019802,0.0019802,0.0019802
7,134.909,1.78158,2.69761,1.68767,0,0,0,0,0.24822,2908.11,1.00326,0.00197624,0.00197624,0.00197624
8,154.913,1.69534,2.38079,1.53993,0,0,0,0,0,683.765,0,0.00197228,0.00197228,0.00197228
9,173.831,1.78535,2.58728,1.60631,0,0,0,0,2e-05,1274.68,0.00972,0.00196832,0.00196832,0.00196832
10,193.551,1.62922,2.74272,1.68425,0,0,0,0,0,0,0,0.00196436,0.00196436,0.00196436
11,212.262,1.68979,2.7511,1.56657,0,0,0,0,0,21.1093,0,0.0019604,0.0019604,0.0019604
12,231.595,1.50698,2.10976,1.57432,0.00116,0.25424,0.00073,0.00021,2.95517,237187,1201.64,0.00195644,0.00195644,0.00195644
13,250.976,1.41608,1.72796,1.43435,0.00012,0.01695,3e-05,0,2.65434,75.0894,23.2729,0.00195248,0.00195248,0.00195248
14,269.861,1.28179,1.73966,1.345,0.00206,0.10169,0.00075,0.00027,3.20281,6412.46,86.6915,0.00194852,0.00194852,0.00194852
15,288.887,1.32817,1.75686,1.44877,0.27354,0.10169,0.09265,0.05595,2.59638,10.2694,5.60535,0.00194456,0.00194456,0.00194456
16,309.571,1.44181,1.58299,1.51136,0.52553,0.32203,0.31147,0.20723,1.72396,14.4184,2.98706,0.0019406,0.0019406,0.0019406
17,328.923,1.43977,1.75278,1.51091,0.45123,0.50847,0.47711,0.28314,1.30585,20.7821,1.13997,0.00193664,0.00193664,0.00193664
18,348.425,1.21029,1.84392,1.35802,0.5924,0.61589,0.57914,0.3609,1.32216,7.52187,1.13787,0.00193268,0.00193268,0.00193268
19,367.537,1.43232,1.55479,1.50714,0.48687,0.69492,0.65854,0.40931,1.1888,15.4055,1.0108,0.00192872,0.00192872,0.00192872
20,386.725,1.18761,1.31436,1.33258,0.31139,0.69492,0.56718,0.39934,1.23233,53.4791,1.03902,0.00192476,0.00192476,0.00192476
21,405.853,1.2882,1.28739,1.42683,0.37155,0.67797,0.57407,0.43459,1.19792,51.6082,1.02378,0.0019208,0.0019208,0.0019208
22,424.995,1.09205,1.22567,1.19298,0.33158,0.45763,0.40114,0.2877,1.22289,49.5742,1.02851,0.00191684,0.00191684,0.00191684
