epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.50559,0.67272,3.1054,0.95127,0.00333,1,0.155,0.138,0.42025,2.83955,0.74656,0,0,0
2,6.32394,0.58414,2.96363,0.9266,0.00333,1,0.23746,0.21513,0.41243,2.83624,0.74168,1.9802e-05,1.9802e-05,1.9802e-05
3,9.16562,0.66966,2.9873,0.96802,0.00333,1,0.33031,0.29952,0.40147,2.81655,0.73446,3.9208e-05,3.9208e-05,3.9208e-05
4,12.0699,0.53792,2.965,0.93617,0.00333,1,0.48124,0.4386,0.39391,2.80313,0.72672,5.8218e-05,5.8218e-05,5.8218e-05
5,14.9233,0.5947,2.86677,0.94784,0.00333,1,0.67149,0.59739,0.39089,2.79595,0.72301,7.6832e-05,7.6832e-05,7.6832e-05
6,17.8058,0.62208,2.84401,0.96899,0.00333,1,0.789,0.71164,0.37961,2.77017,0.72002,9.505e-05,9.505e-05,9.505e-05
7,20.642,0.45733,2.52492,0.89727,0.00333,1,0.80449,0.7423,0.38153,2.75089,0.71889,0.000112872,0.000112872,0.000112872
8,23.595,0.52319,2.48101,0.91162,0.00333,1,0.83912,0.75697,0.38071,2.73182,0.71349,0.000130298,0.000130298,0.000130298
9,26.3182,0.46084,2.28466,0.82252,0.00333,1,0.89841,0.81325,0.39385,2.72437,0.71424,0.000147328,0.000147328,0.000147328
10,29.105,0.51375,2.28893,0.91159,0.00333,1,0.94095,0.84491,0.3882,2.69686,0.71454,0.000163962,0.000163962,0.000163962
11,31.796,0.64552,2.23849,0.99924,0.00333,1,0.939,0.85039,0.39808,2.668,0.71167,0.0001802,0.0001802,0.0001802
12,34.5995,0.52802,2.05099,0.83343,0.00333,1,0.94324,0.8478,0.40721,2.64936,0.71056,0.000196042,0.000196042,0.000196042
13,37.4028,0.4883,1.85218,0.89268,0.00333,1,0.9481,0.86743,0.4113,2.63329,0.71065,0.000211488,0.000211488,0.000211488
14,40.1279,0.6543,1.90449,0.96597,0.00333,1,0.96833,0.86486,0.44265,2.61339,0.71189,0.000226538,0.000226538,0.000226538
15,42.9279,0.47148,1.69259,0.9161,0.00333,1,0.98357,0.87056,0.45905,2.60981,0.71247,0.000241192,0.000241192,0.000241192
